,date_x,compound,positive,negative,neutral,binary score,new score,price,change
108,2021-08-17,0.3542666666666667,0.10823809523809524,0.016190476190476193,0.8755714285714284,0.47619047619047616,0,62.27708029,0.16018995413885695
109,2021-08-18,0.3190222222222222,0.07277777777777777,0.012888888888888889,0.9143333333333332,0.3333333333333333,0,64.30343711,0.032537762055704134
110,2021-08-19,0.21595454545454543,0.061000000000000006,0.023636363636363632,0.9153636363636365,0.36363636363636365,0,74.00480196,0.15086852718937016
111,2021-08-20,0.10258571428571428,0.060785714285714276,0.027571428571428573,0.911642857142857,0.2857142857142857,0,73.04851677,-0.012921934316057815
112,2021-08-21,0.07721666666666667,0.03866666666666666,0.04016666666666666,0.9211666666666667,0.16666666666666666,0,78.44870433,0.07392603982642076
113,2021-08-22,0.1541,0.063,0.038,0.899,0.2,0,74.21792558,-0.053930511486880994
114,2021-08-23,0.21241428571428572,0.05057142857142858,0.0,0.9494285714285714,0.14285714285714285,0,73.12559206,-0.014717920387340433
115,2021-08-24,0.2952181818181818,0.08372727272727273,0.017636363636363638,0.8986363636363636,0.18181818181818182,0,75.97033641,0.03890217186434364
116,2021-08-25,0.18372857142857144,0.06785714285714285,0.015285714285714286,0.916857142857143,0.35714285714285715,0,71.21280824,-0.0626234974704385
117,2021-08-26,0.24399,0.0778,0.0365,0.8855000000000001,0.3,0,71.51094022,0.004186493797509572
118,2021-08-27,0.10571764705882351,0.07647058823529412,0.04788235294117647,0.8756470588235293,0.35294117647058826,0,76.11361964,0.06436329050967693
119,2021-08-28,0.465323076923077,0.10115384615384616,0.009923076923076923,0.8889230769230768,0.46153846153846156,0,87.96820731,0.15574857333115255
120,2021-08-29,0.1683,0.058249999999999996,0.032625,0.909125,0.125,0,97.06666833,0.10342896937682289
121,2021-08-30,0.2759333333333333,0.07861904761904762,0.027333333333333338,0.894047619047619,0.47619047619047616,0,94.00977412,-0.0314927282721541
122,2021-08-31,0.1250875,0.05870833333333334,0.03366666666666667,0.907625,0.2916666666666667,0,109.6467328,0.16633332891577846
123,2021-09-01,0.1342769230769231,0.04615384615384615,0.027615384615384615,0.9261538461538461,0.23076923076923078,0,108.7063764,-0.008576237303078105
